Timestamp (UTC),Beijing co,Beijing no2,Beijing o3,Beijing pm10,Beijing pm25,Beijing so2,Beijing pressure,Beijing windSpeed,Beijing windBearing,Zhangjiakou co,Zhangjiakou no2,Zhangjiakou o3,Zhangjiakou pm10,Zhangjiakou pm25,Zhangjiakou so2,Zhangjiakou pressure,Zhangjiakou windSpeed,Zhangjiakou windBearing,Qinhuangdao co,Qinhuangdao no2,Qinhuangdao o3,Qinhuangdao pm10,Qinhuangdao pm25,Qinhuangdao so2,Qinhuangdao pressure,Qinhuangdao windSpeed,Qinhuangdao windBearing,Shijiazhuang co,Shijiazhuang no2,Shijiazhuang o3,Shijiazhuang pm10,Shijiazhuang pm25,Shijiazhuang so2,Shijiazhuang pressure,Shijiazhuang windSpeed,Shijiazhuang windBearing,Tianjin co,Tianjin no2,Tianjin o3,Tianjin pm10,Tianjin pm25,Tianjin so2,Tianjin pressure,Tianjin windSpeed,Tianjin windBearing
2017-04-27 07:00:00,211.42857142857142,10.885714285714286,113.08571428571429,48.36666666666667,18.205882352941178,3.085714285714286,,,,407.6,10.2,127.4,114.2,9,9,,,,383.4,11.6,116.4,24.4,6.6,7.2,,,,452.875,9.625,114.125,21.625,11,8.625,,,,657.1428571428571,13.181818181818182,117.95454545454545,36.59090909090909,17.136363636363637,5.55,,,
2017-04-27 08:00:00,194.28571428571428,11.2,112.68571428571428,53.62068965517241,17.8,3.0285714285714285,,,,408.4,10.8,126.2,177,53.8,9.8,,,,525,13.8,115.4,19.2,8.8,6.4,,,,485.5,10,115.125,25.25,11.125,9.25,,,,654.5454545454545,14,124.47826086956522,49.608695652173914,20.565217391304348,5.7272727272727275,,,
2017-04-27 09:00:00,194.28571428571428,12.085714285714285,109.54285714285714,63.483870967741936,19.235294117647058,3.4,,,,410.8,11.4,124.8,69.2,11.2,10.8,,,,606.8,17.8,115,24.6,7.2,7.6,,,,509.75,12.375,113.5,32,11,10.875,,,,654.5454545454545,14.92,123.32,51.3,20.565217391304348,5.48,,,
2017-04-27 10:00:00,209.0909090909091,14,105.20588235294117,64.38709677419355,17.515151515151516,3.411764705882353,,,,426,12.2,123.8,73.6,10.6,11.8,,,,752.2,27.2,109.4,49.6,8.8,11.4,,,,545.5,18.125,109.875,42,15.125,13,,,,733.3333333333334,14.92,123.32,30.5,25,5.48,,,
2017-04-27 11:00:00,225.71428571428572,16.571428571428573,99.42857142857143,62.63636363636363,20.166666666666668,3.4285714285714284,,,,437.2,12.6,123.8,104.4,12.4,12.6,,,,876.8,40.2,91.4,126.4,16.4,13.6,,,,585.625,28,99,83.375,22.625,16.5,,,,733.3333333333334,14.92,123.32,30.5,25,5.48,,,
2017-04-27 12:00:00,288.57142857142856,28.914285714285715,80.08823529411765,67.67647058823529,16.257142857142856,3.5142857142857142,,,,453.6,14.4,117.2,87.2,15.6,12.4,,,,983.8,54.4,74.6,110.6,22.2,16,,,,623.875,32.625,92.125,96.5,24.75,18.5,,,,721.7391304347826,24.36,111.16,94.72727272727273,26.52173913043478,7.32,,,
2017-04-27 13:00:00,408.57142857142856,51.25714285714286,51.34285714285714,80.63636363636364,28.457142857142856,3.7142857142857144,,,,497.2,15.6,101,82.4,20.4,13,,,,1144.8,68.4,57,105.2,22.8,20.8,,,,693,41.25,78.875,96.75,26.875,23.625,,,,795.6521739130435,33.56521739130435,93.30434782608695,109.78260869565217,26.08695652173913,8.434782608695652,,,
2017-04-27 14:00:00,465.7142857142857,60.34285714285714,38.68571428571428,89.39393939393939,32.02857142857143,4.428571428571429,,,,475.6,16.8,103.2,62,21,13.2,,,,1160.8,78,43,94.6,28.2,21.6,,,,787.75,48,67.75,96.875,27.5,27.5,,,,913.0434782608696,36.73913043478261,82.26086956521739,110.04347826086956,34,10.956521739130435,,,
2017-04-27 15:00:00,511.42857142857144,63.22857142857143,32.42857142857143,82.27272727272727,28.257142857142856,4.9714285714285715,,,,519,17.4,104.6,52,21.4,13.2,,,,1430.6,95.2,23.6,118,30,29,,,,850.125,63,47.375,97,52.375,27.875,,,,947.8260869565217,36,78.08695652173913,110.52173913043478,34.56521739130435,12.304347826086957,,,
2017-04-27 16:00:00,500,65.48571428571428,28.057142857142857,97.5,27.914285714285715,5.142857142857143,,,,438.4,16.2,109,49.2,16.4,11.8,,,,1591,101.2,15.2,121.4,33.8,33.2,,,,916,74.875,32.5,110.625,35.75,25.5,,,,882.6086956521739,33.82608695652174,74.78260869565217,109.47826086956522,31.608695652173914,13.130434782608695,,,
